Region/Country/Area,Year,Expenditure by level of education: primary (as % of government expenditure),Expenditure by level of education: secondary (as % of government expenditure),Expenditure by level of education: tertiary (as % of government expenditure),Public expenditure on education (% of GDP),GDP in current prices (millions of US dollars),GDP per capita (US dollars),Population mid-year estimates (millions),Students enrolled in primary education (thousands),Students enrolled in secondary education (thousands),Students enrolled in tertiary education (thousands)
Mauritius,2005,27.1653,44.1812,11.3476,4.2016,"6,775","5,544",1.222,123.562,129.438,20.514
Mauritius,2010,26.9617,52.6461,9.3645,3.5515,"10,004","8,016",1.248,117.432,127.002,33.427
Mauritius,2017,23.053,63.0822,5.862,5.0231,"13,366","10,565",1.2645,92.989,125.27,38.178
Mexico,2005,39.0791,30.2601,17.455,4.8457,"877,477","8,089",106.0052,"14,700.01","10,564.40","2,384.86"
Mexico,2010,35.9838,30.2538,19.6634,5.1592,"1,057,801","9,016",114.093,"14,906.48","11,681.53","2,847.38"
Mexico,2011,35.5024,30.6623,18.1251,5.1057,,,,,,
Mexico,2015,32.4697,32.31,21.4755,5.2395,"1,170,567","9,298",,"14,397.93","13,473.21","3,515.40"
Monaco,2004,15.3913,45.831,4.3685,1.2439,,,,1.831,3.078,
Monaco,2010,15.2516,37.7465,,1.3202,"5,362","144,561",0.0371,1.82,2.999,
Monaco,2016,12.7013,31.463,,1.371,"6,468","168,003",,,,
Mongolia,2004,25.0678,32.8256,18.4327,4.3257,,,,,,
Mongolia,2010,26.896,33.6604,6.6827,4.6451,"7,189","2,650",2.7199,273.966,275.983,165.769
Mongolia,2017,32.2161,29.2262,6.4087,4.0664,"11,135","3,620",3.1138,290.55,,157.138
Montserrat,2001,20.5615,29.4661,5.5097,4.7891,,,0.0045,,,
Montserrat,2004,20.4733,,,3.8438,,,0.0046,,,
Morocco,2008,35.5331,43.071,,5.3422,,,,,,
Morocco,2009,37.7254,41.9275,20.1832,5.2606,,,,,,
Mozambique,2006,57.6559,29.2702,12.1397,4.2743,,,,,,
Mozambique,2013,49.2466,30.604,13.6909,6.4801,,,,,,
Myanmar,2017,35.9782,39.4002,11.2799,2.1657,"67,102","1,257",53.3825,"5,388.35","3,970.71",771.321
Myanmar,2018,39.3303,40.9635,14.7764,,,,,,,
Namibia,2000,58.7878,27.2245,11.9609,6.9914,,,,,,
Namibia,2003,63.1331,25.8083,9.1074,6.1151,,,,,,
Namibia,2008,47.6008,18.6786,9.906,6.484,,,,407.402,,19.707
Namibia,2010,40.0132,23.5435,23.0856,8.3496,"11,282","5,192",2.1189,406.535,,
Namibia,2014,16.8664,15.305,50.6006,3.1032,,,,,,46.963
Nauru,2002,67.4942,,,,,,0.0101,,,
Nepal,2003,56.471,22.0669,10.2811,3.1144,,,,,,
Nepal,2010,55.7012,30.5038,12.746,3.6317,"16,281",602,27.0132,"4,900.67","2,694.26",376.869
Nepal,2015,53.7702,33.3188,10.7978,3.7036,"20,801",726,,"4,335.36","3,176.32",445.324
Netherlands,2015,22.3461,40.907,30.1259,5.3994,"765,265","45,179",,"1,208.04","1,613.50",842.601
New Zealand,2016,24.569,35.8803,25.2602,6.3037,"187,854","40,305",,,,
Nicaragua,2010,39.8119,13.233,26.0484,4.4842,"8,759","1,526",5.8241,923.745,465.201,
Niger,2003,72.6454,,,2.4016,,,,,,
Niger,2010,60.9779,21.28,12.5692,3.7334,"5,719",348,16.464,"1,726.45",306.675,17.096
Niger,2017,48.1168,17.6115,23.2572,3.5427,"8,120",378,21.6024,"2,768.31",786.582,64.666
Niue,2002,28.8277,50.6649,,,,,,,,
Niue,2016,37.0173,56.936,,,,,0.0016,0.201,,
Niue,2017,33.3643,60.1148,,,,,0.0016,,,
Norway,2005,25.024,35.6689,32.3627,6.8687,"308,722","66,645",4.6324,429.652,403.026,213.94
Norway,2010,26.6664,35.331,29.6259,6.7405,"429,131","87,831",4.8859,424.052,435.085,224.706
Norway,2015,23.7194,29.365,25.905,7.5525,"386,663","74,361",,430.864,443.491,268.231
Oman,2002,46.8058,43.2054,9.9888,4.3251,,,,,,
Oman,2005,50.5356,41.8265,7.6379,3.5172,"31,082","12,377",2.5113,312.121,301.568,48.483
Oman,2009,32.9537,40.163,26.8833,4.1878,,,,302.037,321.67,75.715
Oman,2017,37.9493,33.3414,28.7094,6.6739,"70,784","15,267",4.6659,384.001,295.77,
Pakistan,2016,43.6771,28.9765,10.7345,2.4918,"277,779","1,438",,,,
Palau,2001,44.8644,9.5649,20.6562,7.7799,,,,,,
Panama,2002,32.0895,29.2226,28.1301,4.1916,,,,,,
Panama,2004,34.5187,25.9486,28.3541,3.5787,,,,,,
Panama,2011,23.471,22.4274,22.2408,3.159,,,,,,
Paraguay,2004,46.6221,29.793,15.918,3.4381,,,,,,
Paraguay,2010,38.5066,36.1297,18.5382,3.7677,"20,048","3,228",6.248,839.291,560.866,225.211
Paraguay,2016,36.4365,31.2785,23.326,4.5204,"27,424","4,078",,727.363,611.308,
Peru,2005,35.5932,31.3858,10.7497,2.839,"76,080","2,755",27.8661,"4,077.36","2,469.62",908.315
Peru,2010,39.8604,34.2154,13.8218,2.8673,"147,528","5,022",29.0277,"3,762.68","2,674.59",
Peru,2017,33.4861,33.7781,16.669,3.924,"211,403","6,572",31.4443,,,
Philippines,2005,51.9941,26.7919,13.28,2.4263,"103,072","1,195",86.3263,"13,083.74","6,352.48","2,402.65"
Philippines,2009,54.9751,29.6937,11.9573,2.653,,,,"13,686.64","6,766.95","2,625.39"
Poland,2005,30.9588,36.6099,21.7609,5.4261,"306,127","7,980",38.3689,"2,723.66","3,444.90","2,118.08"
Poland,2010,31.0335,35.5027,22.7744,5.0684,"479,321","12,507",38.3298,"2,234.94","2,841.63","2,148.68"
Poland,2015,30.8471,30.8041,25.2831,4.8145,"477,577","12,481",,"2,306.10","2,548.41","1,665.31"
Portugal,2005,30.6402,40.7537,18.1215,5.0708,"197,300","18,674",10.5085,752.739,669.529,380.937
Portugal,2010,26.9713,44.0134,20.1541,5.4029,"238,303","22,371",10.5961,733.515,720.688,383.627
Portugal,2015,28.9628,42.6078,18.3043,4.8829,"199,420","19,141",,656.727,778.589,337.507
Puerto Rico,2014,22.004,24.6061,36.7786,6.0727,,,,258.958,266.077,241.168
Qatar,2009,17.6384,14.7406,,3.4132,,,,,,
Republic of Korea,2005,35.3966,41.5094,13.9568,3.9014,"898,137","18,439",48.7011,"4,031.59","3,795.98","3,210.18"
Republic of Korea,2009,32.6351,38.22,17.0603,4.6698,,,,,,
Republic of Korea,2015,31.8078,39.8269,18.9477,5.2527,"1,382,764","27,331",,"2,721.77","3,396.77","3,268.10"
Republic of Moldova,2010,18.0182,37.2975,17.9763,9.1121,"5,812","1,423",4.0861,141.197,307.619,130.168
Republic of Moldova,2017,22.7342,35.3272,14.739,6.6838,"8,128","2,006",4.0597,139.335,227.263,95.967
Romania,2005,13.7699,44.2712,23.2041,3.4567,"99,699","4,652",21.4173,970.295,"2,089.65",738.806
Romania,2010,16.4081,35.7516,28.4749,3.4863,"166,658","8,153",20.4719,842.238,"1,821.78",999.523
Romania,2015,13.3139,41.1143,21.1644,3.1065,"177,913","8,951",,947.205,"1,562.96",541.653
Rwanda,2000,48.1779,16.6829,34.6516,4.0951,,,,,,
Rwanda,2010,36.7372,30.6812,22.7497,4.8858,"5,772",563,10.0393,"2,299.33",425.587,62.734
Rwanda,2015,32.665,42.6248,20.8579,3.7515,"8,278",712,,"2,450.71",567.838,80.335
Rwanda,2016,34.6111,52.8252,,3.5398,"8,475",711,,,,
Saint Kitts and Nevis,2015,21.3819,40.242,15.3557,2.7785,865,"15,937",,5.466,4.318,3.508
Saint Lucia,2004,47.2137,33.399,,4.1043,,,,,,
Saint Lucia,2010,42.279,45.5844,4.5958,3.8649,"1,382","8,008",0.1741,19.483,16.017,1.973
Saint Lucia,2011,42.3046,45.0756,5.0111,3.8603,,,,,,
Saint Lucia,2015,34.1784,43.8154,,4.3742,"1,622","9,156",,16.822,13.215,2.788
Saint Lucia,2016,26.3794,30.798,,5.7102,"1,636","9,188",,,,
Saint Vincent & Grenadines,2005,40.9659,31.7267,3.7063,6.3508,551,"5,065",0.1086,17.858,9.78,
Saint Vincent & Grenadines,2010,41.3827,36.2682,7.0103,5.0852,681,"6,232",0.1083,14.435,11.426,
Saint Vincent & Grenadines,2017,36.5981,31.7935,,5.7505,780,"7,099",0.1098,13.026,10.113,
Samoa,2001,36.2388,29.8246,33.2191,3.8263,,,,,,
Samoa,2002,45.7862,,,3.8414,,,,,,
Samoa,2016,37.049,42.8137,9.1818,4.0811,822,"4,213",,32.629,25.964,
San Marino,2010,31.6954,39.5172,9.7579,2.3098,"2,139","68,767",0.0311,1.577,2.334,0.937
San Marino,2011,33.3214,35.7613,10.7611,2.3829,,,,,,
Sao Tome and Principe,2014,55.8172,22.6082,9.6006,3.7488,,,,34.493,19.386,1.68
Senegal,2005,41.8092,22.4165,21.9778,5.137,"11,267","1,001",11.0901,"1,444.16",405.899,59.127
Senegal,2010,43.2123,27.8907,26.8241,6.5014,"16,725","1,295",12.6781,"1,695.01",725.208,92.106
Senegal,2016,31.3175,16.6536,28.0745,6.6256,"18,972","1,231",,,,
Serbia,2010,45.8555,23.2586,29.0818,4.5866,"39,460","5,412",8.9913,283.161,590.83,226.772
Serbia,2015,45.3395,22.886,30.1154,4.0407,"37,160","5,237",,279.22,553.448,241.054
Seychelles,2002,32.0121,26.112,17.4411,5.1933,,,,,,
Seychelles,2003,32.8209,28.9059,,5.3749,,,,,,
Seychelles,2016,30.5708,27.1496,21.6356,4.4183,"1,428","15,150",,,,
Sierra Leone,2010,50.723,26.3563,19.639,2.5886,"2,578",399,6.4156,,,
Sierra Leone,2011,52.5567,26.2941,17.9299,2.6689,,,,,,
Sierra Leone,2014,43.0944,23.3818,30.7306,2.6629,,,,,,
Sierra Leone,2017,20.3871,20.2257,59.0201,4.6367,"3,740",495,7.4884,"1,486.94",492.14,
Singapore,2010,20.83,24.9684,35.0615,3.1084,"236,420","46,592",5.1312,,,236.891
Singapore,2013,21.9837,22.9622,35.2841,2.8977,,,,,,
Slovakia,2005,17.1402,48.8994,21.0013,3.7652,"48,965","9,069",5.399,242.459,662.659,181.419
Slovakia,2010,20.6537,46.9399,19.626,4.1159,"89,501","16,561",5.4043,212.421,549.76,234.526
Slovakia,2015,19.1247,37.9295,29.909,4.6498,"87,770","16,136",,216.266,454.032,184.39
Slovenia,2003,21.7635,46.5945,22.3281,5.6913,,,,,,
Slovenia,2010,28.5271,37.0822,24.0466,5.5625,"48,014","23,477",2.0433,106.883,138.354,114.873
Slovenia,2015,28.3366,34.3888,19.8694,4.9116,"43,102","20,774",,115.56,143.247,85.616
South Africa,2005,42.9478,32.5768,15.0549,5.0632,"257,772","5,280",47.8806,"7,314.45","4,657.67",
South Africa,2006,45.1061,31.0948,12.848,5.0726,,,,,,
South Africa,2009,41.0946,30.8787,12.5336,5.2487,,,,,,
South Africa,2010,42.4629,31.4494,11.8773,5.7217,"375,348","7,276",51.217,"7,024.37","4,689.60",
South Africa,2017,38.8862,29.4103,14.3615,6.1254,"348,872","6,151",57.0098,,,
South Sudan,2014,57.5356,16.604,24.684,1.52,,,,,,
South Sudan,2016,36.3594,12.2259,50.4361,1.4969,"6,534",534,,,,
South Sudan,2017,48.5758,18.4952,31.462,0.9812,"5,694",453,10.9108,,,
Spain,2005,25.7744,39.4508,22.3655,4.13,"1,157,248","26,276",44.0191,"2,484.90","3,107.82","1,809.35"
Spain,2010,25.5447,36.9709,23.4333,4.8191,"1,431,617","30,598",46.931,"2,720.99","3,185.01","1,878.97"
Spain,2015,26.6422,36.8038,22.358,4.277,"1,199,084","25,844",,"3,010.40","3,313.13","1,963.92"
Sri Lanka,2010,25.0467,53.2243,16.4282,1.7177,"56,726","2,808",20.2617,"1,720.81","2,524.67",261.647
Sri Lanka,2017,33.3783,51.1788,12.9643,2.8074,"87,357","4,184",21.128,"1,746.84","2,648.66",290.495
Sweden,2005,26.238,38.215,27.5075,6.5595,"389,489","43,092",9.0386,658.461,735.494,426.723
Sweden,2010,24.2866,35.5874,29.022,6.622,"488,909","52,066",9.3902,576.11,731.273,455.025
Sweden,2015,23.3438,27.109,24.9134,7.5513,"498,118","51,018",,791.893,844.112,428.557
Switzerland,2005,29.6854,37.665,25.9595,5.2041,"408,697","55,153",7.3868,524.222,574.783,199.696
Switzerland,2010,27.9699,41.2695,25.3071,4.9261,"583,783","74,538",7.8087,492.508,605.184,248.639
Switzerland,2015,28.5237,35.571,26.2626,5.1047,"679,832","81,713",,490.469,614.47,294.45
Switzerland,2016,28.9482,,26.0032,5.1243,"670,181","79,767",,498.338,609.783,295.149
Syrian Arab Republic,2002,44.3783,33.4148,20.991,5.0469,,,,,,
Syrian Arab Republic,2009,38.8728,36.9045,24.2228,5.1301,,,,,,
Thailand,2004,30.9651,23.988,20.6129,4.0309,,,,,,
Thailand,2010,40.085,28.6118,16.5096,3.5084,"341,105","5,075",67.195,"5,146.54","4,807.09","2,426.58"
Thailand,2013,41.106,29.815,15.5533,4.124,,,,,,
Timor-Leste,2014,64.8913,29.8189,4.1113,2.6888,,,,245.847,118.935,
Togo,2000,48.5895,29.3135,17.3888,4.5084,,,,,,
Togo,2005,41.7785,,,3.4069,"2,281",401,5.6116,996.707,404.47,
Togo,2010,51.676,25.5791,16.7314,4.4232,"3,426",527,6.4217,"1,286.65",,55.959
Togo,2016,64.0632,16.0179,17.9328,5.0633,"4,483",589,,,,
Tonga,2004,44.4381,30.1384,21.717,3.908,,,,17.113,14.032,
Trinidad and Tobago,2003,39.1824,36.8308,,3.1366,,,,,,
Tunisia,2000,33.3144,45.0306,21.655,6.202,,,,,,
Tunisia,2002,32.8609,44.357,22.7822,5.79,,,,,,
Tunisia,2005,34.2771,41.5835,24.1394,6.4516,"32,272","3,194",10.1068,"1,184.30","1,239.47",327.034
Tunisia,2008,27.6597,47.341,24.9993,6.2722,,,,,,
Turkey,2015,22.8837,37.8214,34.5766,4.2919,"859,794","10,985",,"5,434.15","10,969.18","6,062.89"
Turks and Caicos Islands,2002,21.1184,31.7495,22.9209,5.0691,,,,,,
Turks and Caicos Islands,2003,21.6194,27.9678,37.2339,4.7288,,,,,,
Turks and Caicos Islands,2005,30.0021,47.6511,,2.541,579,"21,879",0.0264,2.22,1.558,
Turks and Caicos Islands,2015,36.1024,41.4733,22.4244,3.2653,894,"26,020",,2.577,2.013,0.286
Uganda,2004,61.2103,17.3128,11.8657,4.9524,,,,"7,377.29",732.792,88.36
Uganda,2010,47.2687,39.4308,13.3005,2.389,"19,683",580,32.4282,"8,374.65",,120.646
Uganda,2014,59.155,24.55,16.295,2.2507,,,,,,165.396
Ukraine,2016,19.6395,27.8896,30.4587,5.0144,"93,356","2,101",,,,
United Kingdom,2005,26.465,45.3888,22.2921,4.977,"2,525,013","41,883",60.288,"4,634.99","5,760.89","2,287.54"
United Kingdom,2010,30.0924,48.318,16.3947,5.7705,"2,452,900","38,746",63.4598,"4,421.90","5,538.23","2,479.20"
United Kingdom,2016,33.3639,37.4718,24.181,5.5418,"2,659,239","40,421",,"4,721.65","7,642.06","2,387.28"
United Rep. of Tanzania,2005,56.0234,12.8514,21.6798,4.6108,"18,072",471,38.4503,"7,541.21",,51.554
United Rep. of Tanzania,2009,41.9061,16.6607,33.7757,4.0437,,,,,,
United Rep. of Tanzania,2014,49.1503,18.2684,21.3993,3.4814,,,,"8,222.67",,
United States of America,2010,32.4216,35.4161,25.6529,5.42,"14,992,052","48,574",309.0115,"24,393.00","24,192.79","20,427.71"
United States of America,2014,30.9646,34.5549,27.5023,4.9895,,,,"24,538.37","24,229.78","19,700.22"
Uruguay,2005,33.7848,35.4969,21.8329,2.7148,"17,363","5,221",3.3218,365.536,323.087,110.684
Uruguay,2006,33.3327,35.985,22.0023,2.8803,,,,365.388,323.027,113.403
Uruguay,2011,27.8764,33.1749,26.8333,4.3553,,,,,,
Vanuatu,2001,27.8517,57.3953,10.4645,8.9512,,,,,,
Vanuatu,2008,49.7283,32.914,5.8566,5.783,,,,,,
Vanuatu,2009,54.2661,29.6925,,5.013,,,,,,
Vanuatu,2017,44.6363,32.8975,,4.6954,864,"3,128",0.2855,,,
Venezuela (Boliv. Rep. of),2009,31.5452,19.0353,22.5991,6.8747,,,,"3,461.82","2,252.42","2,123.04"
Viet Nam,2010,30.0155,42.2071,14.4805,5.1372,"115,932","1,310",87.9677,"6,922.62",,"2,020.41"
Viet Nam,2013,29.6893,39.5698,15.009,5.652,,,,,,
Zambia,2004,63.8612,13.3018,18.0497,2.4634,,,,,,
Zambia,2005,59.7587,14.4887,25.7527,1.7355,"8,332",691,11.8562,"2,572.85",,
Zimbabwe,2010,51.5801,25.6049,22.815,1.8333,"10,142",720,12.6977,,,94.611
Zimbabwe,2014,47.7685,26.8664,16.8321,7.5307,,,,,,
Albania,2016,,25.3694,19.0985,3.9546,"11,884","4,061",,,,
Azerbaijan,2016,,72.4274,17.0826,2.9034,"37,867","3,894",,,,
Bangladesh,2016,,64.3283,33.2774,1.5355,"220,316","1,352",,,,
Barbados,2010,,29.6374,32.5057,6.0973,"4,365","15,613",0.2821,22.659,19.497,13.232
Belarus,2017,,50.4586,16.4784,4.82,"54,441","5,750",9.4502,423.001,644.334,418.745
Bhutan,2015,,41.4911,,7.3897,"2,059","2,615",,99.291,74.32,
Canada,2011,,26.4043,35.5994,5.2744,,,,,,
Central African Republic,2008,,25.9133,17.4819,1.29,,,,,,
Chad,2013,,24.7124,31.7008,2.8507,,,,,,
"China, Macao SAR",2016,,60.7267,39.2734,3.0831,"45,311","74,018",,,,
Greece,2005,,33.9436,36.0952,3.964,"247,777","21,925",11.2248,650.242,715.537,646.587
Lebanon,2013,,17.0918,28.7415,2.4798,,,,,,
Tunisia,2015,,71.5867,23.9382,6.5986,"43,152","3,828",,"1,114.88","1,007.95",322.625
United Rep. of Tanzania,2010,,11.3244,28.2968,4.6224,"31,105",694,44.3465,"8,419.31","1,825.96",85.113
Algeria,2008,,,26.9726,4.337,,,,,,
American Samoa,2006,,,11.1848,14.6293,,,,,,
Armenia,2009,,,9.3612,3.8408,,,,,,
Armenia,2010,,,11.654,3.249,"9,875","3,432",2.8773,101.819,305.765,146.125
Azerbaijan,2005,,,6.9457,2.9746,"13,245","1,551",8.5386,568.097,,
Azerbaijan,2010,,,14.0389,2.7806,"52,906","5,857",9.0325,481.551,,180.727
Barbados,2017,,,28.5407,4.6565,"4,713","16,494",0.2862,20.384,20.249,
Belarus,2005,,,25.4776,5.871,"31,232","3,246",9.5621,379.577,,528.508
Belarus,2010,,,17.1275,5.22,"57,232","6,042",9.4206,357.796,762.616,568.772
Belgium,2005,,,21.6971,,"387,356","36,727",10.5469,738.58,"1,200.32",389.547
Belgium,2010,,,22.1684,,"483,548","44,205",10.9387,731.761,"1,202.78",445.309
Canada,2010,,,35.3895,5.3699,"1,613,463","47,221",34.1476,"2,168.02","2,611.62","1,430.17"
Central African Republic,2011,,,27.2911,1.2286,,,,,,
"China, Macao SAR",2005,,,45.6061,2.2907,"12,092","25,059",0.4829,37.401,46.539,23.42
"China, Macao SAR",2010,,,48.4117,2.6295,"28,124","52,375",0.5382,25.326,38.222,29.476
Cook Islands,2016,,,11.5484,4.6514,288,"16,572",0.0174,1.858,1.685,
Côte d’Ivoire,2005,,,20.0,4.1058,,,,,,
Croatia,2004,,,18.109,3.8209,,,,,,
Croatia,2010,,,18.316,4.2405,"59,866","13,832",4.3282,167.452,388.515,149.853
Croatia,2011,,,22.1571,4.1487,,,,,,
Croatia,2013,,,21.8553,4.5626,,,,,,
Dem. Rep. of the Congo,2015,,,23.8056,2.1704,"37,918",498,,"13,763.20","4,618.90",
Georgia,2017,,,10.0781,3.8299,"15,159","3,875",4.0087,301.094,275.464,144.337
Guinea,2005,,,30.562,1.8491,"4,063",420,9.1096,"1,206.74",420.057,23.788
Honduras,2015,,,13.6922,6.413,"20,980","2,341",,"1,154.14",637.727,195.469
Kazakhstan,2005,,,12.2955,2.2635,"57,124","3,676",15.4028,"1,023.97",,
Kazakhstan,2009,,,13.1338,3.0607,,,,,,
Kyrgyzstan,2005,,,19.1824,4.8738,"2,460",485,5.0753,434.155,721.205,220.46
Kyrgyzstan,2010,,,15.5168,5.8188,"4,794",884,5.4223,390.711,693.521,260.583
Kyrgyzstan,2014,,,4.6357,5.5316,,,,434.642,650.516,267.92
Kyrgyzstan,2016,,,3.0228,6.5862,"6,813","1,144",,,,
Lebanon,2005,,,28.7626,2.6723,"21,490","5,390",4.6988,475.798,377.89,165.73
Lebanon,2010,,,27.1923,1.6143,"38,420","8,858",4.9531,461.719,383.226,202.345
Lebanon,2011,,,26.4942,1.6464,,,,,,
Mongolia,2002,,,15.4591,7.2108,,,,,,
North Macedonia,2002,,,15.0106,3.3002,,,,,,
Pakistan,2017,,,10.1791,2.7605,"302,139","1,534",207.9062,"21,686.45","12,529.17","1,941.48"
Russian Federation,2005,,,21.0564,3.7719,"771,495","5,372",143.6721,"5,308.61","12,433.16","9,003.21"
Russian Federation,2008,,,23.1135,4.1018,,,,,,
Russian Federation,2015,,,21.1424,3.8203,"1,368,402","9,510",,"5,982.57","9,384.61","6,592.42"
Serbia,2016,,,28.9068,3.8618,"38,300","5,426",,,,
Seychelles,2006,,,17.8954,4.7701,,,,,,
Slovenia,2005,,,22.0269,5.5824,"36,345","18,206",1.995,93.156,181.299,112.228
Syrian Arab Republic,2004,,,24.8216,5.3715,,,,,,
Tajikistan,2005,,,7.3862,3.5122,"2,312",337,6.7893,693.078,984.41,148.879
Tajikistan,2010,,,10.0754,4.0068,"5,642",738,7.5274,682.09,"1,031.72",195.697
Tajikistan,2015,,,9.9455,5.2322,"7,855",919,,683.162,,224.764
Thailand,2005,,,21.6855,3.9386,"189,318","2,894",65.4162,"5,974.62","4,533.17","2,359.13"
Timor-Leste,2010,,,10.4329,2.4496,"3,999","3,604",1.0935,230.175,101.501,18.553
Tunisia,2010,,,28.1733,6.2548,"44,051","4,140",10.6352,"1,030.11","1,163.83",370.058
Turkey,2004,,,27.8907,3.0202,,,,,,
Turkey,2006,,,31.8964,2.7506,,,,,,
Turkmenistan,2012,,,9.2281,3.0493,,,,,,
Ukraine,2000,,,32.256,4.1662,,,,,,
Ukraine,2005,,,29.4796,6.0585,"89,239","1,903",46.8908,"1,945.72","4,042.83","2,604.88"
Ukraine,2009,,,32.3961,7.3109,,,,,,
Albania,2005,,,,3.2387,"8,052","2,615",3.0868,237.975,407.403,63.257
Albania,2007,,,,3.2687,,,,,,
Angola,2010,,,,3.4741,"83,799","3,586",23.3562,"4,273.01",850.334,
Armenia,2005,,,,2.712,"5,226","1,753",2.9813,125.149,369.736,115.475
Aruba,2009,,,,5.9247,,,,,,
Aruba,2010,,,,6.7125,"2,391","23,513",0.1017,9.858,7.342,2.33
Bahamas,2000,,,,2.2328,,,,,,
Bahrain,2008,,,,2.4968,,,,,,
Bahrain,2012,,,,2.6453,,,,,,
Bahrain,2017,,,,2.3355,"35,326","23,668",1.4941,113.47,97.733,42.717
Belize,2003,,,,5.2068,,,,,,
Benin,2016,,,,3.9947,"8,572",788,,"2,267.84",992.999,129.302
Bhutan,2017,,,,7.0505,"2,562","3,173",0.7456,94.184,75.444,
Brunei Darussalam,2000,,,,3.7059,,,,,,
Burundi,2017,,,,4.3441,"3,155",290,10.827,"2,126.17",665.116,61.724
Cabo Verde,2004,,,,7.4766,,,,,,
Cabo Verde,2010,,,,5.5673,"1,664","3,313",0.4927,71.134,61.677,10.144
Cambodia,2004,,,,1.7198,,,,"2,762.88",630.102,45.37
Cameroon,2017,,,,3.0779,"34,924","1,452",24.5661,"4,371.38",,
Canada,2000,,,,5.442,,,,,,
Canada,2005,,,,4.7822,"1,169,393","36,218",32.1643,"2,320.74","2,601.93",
Central African Republic,2005,,,,1.6522,"1,413",342,4.0384,412.381,,
Congo,2015,,,,4.5615,"11,092","2,220",,,,
Côte d’Ivoire,2017,,,,4.3642,,,,"3,772.14","1,898.24",
Dem. Rep. of the Congo,2017,,,,1.4695,"37,642",463,81.3988,,,
Djibouti,2005,,,,8.3659,674,861,0.7833,50.651,30.142,1.696
Dominican Republic,2003,,,,1.8447,,,,"1,374.62",,286.954
Egypt,2005,,,,4.7944,"94,456","1,230",75.5236,"9,563.63",,"2,351.98"
Egypt,2008,,,,3.7608,,,,,,
Eritrea,2006,,,,2.127,,,,,,
Ethiopia,2002,,,,3.6325,,,,,,
Fiji,2005,,,,5.122,"2,980","3,627",0.8216,,,12.717
Fiji,2009,,,,4.4985,,,,100.967,97.937,
Gabon,2000,,,,3.8271,,,,,,
Gambia,2016,,,,3.0851,"1,442",708,,,,
Georgia,2005,,,,2.4843,"6,411","1,429",4.2102,338.222,316.43,174.255
Georgia,2009,,,,3.2224,,,,298.935,341.649,95.225
Ghana,2017,,,,4.5098,"58,996","2,046",29.1215,"4,393.06","2,550.71",443.978
Guyana,2005,,,,8.1397,"1,315","1,752",0.7462,116.756,70.615,7.278
Guyana,2017,,,,6.2507,"3,543","4,555",0.7752,,,
Haiti,2016,,,,2.4496,"7,598",700,,,,
Honduras,2017,,,,5.9561,"22,979","2,480",9.429,"1,123.95",655.09,
Indonesia,2005,,,,2.8728,"304,372","1,343",226.2895,"29,149.75","15,993.19","3,662.23"
Kenya,2005,,,,7.3357,"21,506",597,36.6249,"6,075.71","2,468.48",113.532
Kenya,2010,,,,5.5082,"40,000",967,42.0307,,,
Kenya,2017,,,,5.239,"74,938","1,508",50.2211,,,
Kyrgyzstan,2017,,,,7.2077,"7,565","1,251",6.1897,501.011,660.063,231.191
Liberia,2008,,,,3.1614,,,,,,
Liberia,2017,,,,3.8263,"2,763",584,4.7022,,,
Luxembourg,2001,,,,3.5558,,,,,,
Madagascar,2013,,,,2.0823,,,,,,
Madagascar,2014,,,,2.7938,,,,"4,610.72","1,493.83",113.025
Malawi,2017,,,,4.0313,"6,339",340,17.6702,"4,433.98",998.94,
Mali,2005,,,,3.5222,"6,245",488,12.7755,"1,505.90",429.716,
Marshall Islands,2003,,,,12.24,,,,,,
Mauritania,2004,,,,2.5169,,,,,,
Micronesia (Fed. States of),2000,,,,6.7082,,,,,,1.539
Micronesia (Fed. States of),2015,,,,12.4595,315,"3,018",,13.758,,
Mongolia,2000,,,,5.5504,,,,,,
Montserrat,2009,,,,5.1275,,,,0.485,0.358,0.056
Mozambique,2005,,,,4.4301,"7,724",369,20.4939,"3,942.83",305.877,28.298
Nepal,2005,,,,3.3646,"8,259",322,25.7445,"4,030.05","2,054.17",187.165
Nepal,2017,,,,5.0956,"24,870",849,27.6327,"4,135.25","3,336.65",371.184
Netherlands,2005,,,,5.1588,"685,076","41,857",16.3672,"1,277.99","1,410.55",564.983
Netherlands,2010,,,,5.5558,"846,555","50,744",16.6829,"1,294.02","1,474.98",650.905
New Zealand,2005,,,,6.279,"114,721","27,741",4.1354,352.845,526.152,
New Zealand,2010,,,,7.0024,"146,584","33,543",4.3701,348.492,512.195,
Nicaragua,2002,,,,2.391,,,,923.391,382.951,100.363
Nicaragua,2003,,,,2.422,,,,,,
Nicaragua,2017,,,,4.3488,"13,814","2,222",6.3848,,,
Pakistan,2005,,,,2.2544,"117,708",765,160.304,"17,257.95","6,852.32",782.621
Pakistan,2007,,,,2.6353,,,,,,
Pakistan,2010,,,,2.2869,"174,508","1,023",179.4246,"18,756.35","9,654.94",
Palau,2002,,,,7.5789,,,,,,0.484
Panama,2008,,,,3.5023,,,,,,
Qatar,2005,,,,3.9719,"44,530","51,489",0.8654,69.991,55.705,9.699
Qatar,2010,,,,4.5397,"125,122","70,306",1.8563,88.723,68.924,13.846
Qatar,2017,,,,2.8523,"167,605","63,506",2.7247,146.418,103.042,31.277
